Date,Total Revenue,Gross Profit,  Gross Margin,EBITDA,Cash,"A/R, less provision for doubtful debts",Deferred Revenue,Share Premium Account,Subscription Revenue,Other Revenue,VMR Subscription Revenue,VCX Subscription Revenue,Pilot Revenue,Adhoc Overage Revenue,Adhoc Legacy Revenue,Starting Subscribers,New Subscribers,Reactivating Subscribers,(Churned Subscribers),Ending Subscribers,Customer Service Costs,Software Costs,Other Service Costs,Historical Adjustment for Customer Service from Opex,Unallocated Subscriptions,Unallocated Revenue,UKGAAP Net assets,Total Cost
Jan-17,110991.00,62899.47,0.57,-142737.00,69787.00,509744.00,772819.00,2754937.00,29189.00,81802.00,0.00,0.00,0.00,0.00,0.00,31.00,4.00,0.00,-2.00,33.00,0.00,8918.00,10624.00,28549.53,29189.00,81802.00,-257744,48091.53
Feb-17,135527.00,68030.20,0.50,-132652.00,456875.00,492293.00,911685.00,3202528.00,20247.00,115280.00,0.00,0.00,0.00,0.00,0.00,33.00,4.00,0.00,0.00,37.00,0.00,20234.00,27893.00,19369.80,20247.00,115280.00,33723,67496.80
Mar-17,299108.00,216207.56,0.72,-13017.00,207564.00,711680.00,894799.00,3164067.00,50749.00,248359.00,0.00,0.00,0.00,0.00,0.00,37.00,2.00,0.00,-1.00,38.00,0.00,16874.00,46432.00,19594.44,50749.00,248359.00,14048,82900.44
Apr-17,116270.00,37978.76,0.33,-176629.00,167369.00,665761.00,923343.00,3235861.00,39213.00,77057.00,0.00,0.00,0.00,0.00,0.00,38.00,1.00,0.00,-1.00,38.00,0.00,29578.00,28406.00,20307.24,39213.00,77057.00,-129962,78291.24
May-17,164470.00,88345.71,0.54,-125819.00,114922.00,680696.00,968265.00,3312783.00,71086.00,93384.00,0.00,0.00,0.00,0.00,0.00,38.00,3.00,0.00,0.00,41.00,0.00,24323.00,29708.00,22093.29,71086.00,93384.00,-220093,76124.29
Jun-17,226015.00,130372.61,0.58,-98477.00,122896.00,629525.00,992639.00,3279450.00,73345.00,152670.00,0.00,0.00,0.00,0.00,0.00,41.00,4.00,0.00,-2.00,43.00,0.00,30023.00,36174.00,29445.39,73345.00,152670.00,-313684,95642.39
Jul-17,114489.00,29386.19,0.26,-191900.00,175807.00,641893.00,1103596.00,3455393.00,3278.00,111211.00,0.00,0.00,0.00,0.00,0.00,43.00,5.00,0.00,-1.00,47.00,0.00,23539.00,36021.00,25542.81,3278.00,111211.00,-360968,85102.81
Aug-17,297678.00,213583.74,0.72,-35258.00,145572.00,691942.00,1118693.00,3527912.00,85693.00,211985.00,0.00,0.00,0.00,0.00,0.00,47.00,2.00,0.00,-2.00,47.00,0.00,30199.00,23618.00,30277.26,85693.00,211985.00,-302407,84094.26
Sep-17,231252.00,131279.38,0.57,-100438.00,102017.00,761819.00,1174188.00,3620466.00,133695.00,97557.00,0.00,0.00,0.00,0.00,0.00,47.00,3.00,0.00,-4.00,46.00,0.00,28939.00,47056.00,23977.62,133695.00,97557.00,-376028,99972.62
Oct-17,171488.00,42390.25,0.25,-226910.00,1067280.00,557352.00,1179446.00,4583234.00,48093.00,123395.00,0.00,0.00,0.00,0.00,0.00,46.00,1.00,0.00,-2.00,45.00,0.00,36115.00,59874.00,33108.75,48093.00,123395.00,395758,129097.75
Nov-17,337279.00,171737.30,0.51,-201765.00,709157.00,638883.00,1182410.00,4586706.00,75433.00,261846.00,0.00,0.00,0.00,0.00,0.00,45.00,2.00,0.00,-1.00,46.00,0.00,56227.00,68569.00,40745.70,75433.00,261846.00,205790,165541.70
Dec-17,180690.00,-46499.60,-0.26,-693422.00,513809.00,564045.00,1166978.00,4654641.00,116810.00,63880.00,0.00,0.00,0.00,0.00,0.00,46.00,3.00,0.00,-2.00,47.00,0.00,42192.00,123092.00,61905.60,116810.00,63880.00,-127538,227189.60
Jan-18,309570.00,175804.24,0.57,-135837.00,247501.00,747199.00,1296720.00,4786540.00,92244.00,217326.00,0.00,0.00,0.00,0.00,0.00,47.00,5.00,0.00,-3.00,49.00,0.00,11630.00,63630.00,58505.76,92244.00,217326.00,-230918,133765.76
Feb-18,360926.00,235956.79,0.65,-155137.00,328106.00,840657.00,1342879.00,5201986.00,84228.00,276698.00,0.00,0.00,0.00,0.00,0.00,49.00,3.00,0.00,-3.00,49.00,0.00,10948.00,53130.00,60891.21,84228.00,276698.00,-18231,124969.21
Mar-18,284557.00,110490.79,0.39,-319222.00,1541932.00,939932.00,1483306.00,6590546.00,122564.00,161993.00,0.00,0.00,0.00,0.00,0.00,49.00,5.00,1.00,-1.00,54.00,0.00,13111.00,82298.00,78657.21,122564.00,161993.00,1060578,174066.21
Apr-18,253448.00,128058.64,0.51,-292265.00,1391838.00,690273.00,1413264.00,6642477.00,127280.00,126168.00,0.00,0.00,0.00,0.00,0.00,54.00,3.00,0.00,-1.00,56.00,0.00,12448.00,44829.00,68112.36,127280.00,126168.00,792525,125389.36
