Inv No,Month,NLNominalAccounts.AccountDepartment,NLNominalAccounts.BroughtForwardBalance,NLPostedNominalTrans.UniqueReferenceNumber,SYSAccountingPeriods.PeriodNumber,NLPostedNominalTrans.GoodsValueInBaseCurrency,NLPostedNominalTrans.TransactionAnalysisCode,NLNominalAccounts.Balance,Nom Code
01/02/18-30/04/18,Apr-18,0.0,2544211.28,118311,11,-580.17,0.0,-1396069.12,2010
01/02/18-30/04/18,Feb-18,0.0,2544211.28,118309,9,-580.17,0.0,-1396069.12,2010
01/02/18-30/04/18,Mar-18,0.0,2544211.28,118310,10,-580.17,0.0,-1396069.12,2010
01/03/18-31/03/18,Mar-18,0.0,2734029.55,120860,10,-80.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Apr-18,0.0,2734029.55,106615,11,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Dec-17,0.0,2734029.55,106611,7,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Feb-18,0.0,2734029.55,106613,9,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Jan-18,0.0,2734029.55,106612,8,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Mar-18,0.0,2734029.55,106614,10,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,May-18,0.0,2734029.55,106616,12,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Nov-17,0.0,2734029.55,106610,6,-25.0,0.0,-3846562.97,2010
01/10/17-30/09/18,Oct-17,0.0,2734029.55,106609,5,-25.0,0.0,-3846562.97,2010
01/11/17-31/01/18,Dec-17,0.0,185897.17,109006,7,-146.67,0.0,-307310.97,2010
01/11/17-31/01/18,Jan-18,0.0,185897.17,109007,8,-146.67,0.0,-307310.97,2010
01/11/17-31/01/18,Nov-17,0.0,185897.17,109005,6,-146.67,0.0,-307310.97,2010
01/11/17-31/10/18,Apr-18,0.0,2544211.28,108611,11,-73.08,0.0,-1396069.12,2010
01/11/17-31/10/18,Dec-17,0.0,2544211.28,108607,7,-73.08,0.0,-1396069.12,2010
01/11/17-31/10/18,Feb-18,0.0,2544211.28,108609,9,-73.08,0.0,-1396069.12,2010
01/11/17-31/10/18,Jan-18,0.0,2544211.28,108608,8,-73.08,0.0,-1396069.12,2010
01/11/17-31/10/18,Mar-18,0.0,2544211.28,108610,10,-73.08,0.0,-1396069.12,2010
01/11/17-31/10/18,May-18,0.0,2544211.28,108612,12,-73.08,0.0,-1396069.12,2010
01/11/17-31/10/18,Nov-17,0.0,2544211.28,108606,6,-73.08,0.0,-1396069.12,2010
01/12/17-28/02/18,Dec-17,0.0,5088422.56,224692,14,-10169.39,0.0,-2792138.24,4020
