Inv No,Month,NLNominalAccounts.AccountDepartment,NLNominalAccounts.BroughtForwardBalance,NLPostedNominalTrans.UniqueReferenceNumber,SYSAccountingPeriods.PeriodNumber,NLPostedNominalTrans.GoodsValueInBaseCurrency,NLPostedNominalTrans.TransactionAnalysisCode,NLNominalAccounts.Balance,Nom Code
 MT 34839,Feb-18,0.0,2734029.55,115348,9,-416.67,0.0,-3846562.97,2010
 MT 34839,Jan-18,0.0,2734029.55,115347,8,-416.67,0.0,-3846562.97,2010
 MT 34839,Mar-18,0.0,2734029.55,115349,10,-416.67,0.0,-3846562.97,2010
01/08/17-31/08/17,Aug-17,0.0,185897.17,100289,3,-580.0,0.0,-307310.97,2010
100069617,Jun-17,0.0,1284122.59,98455,1,-44.0,0.0,-137007.55,2010
10008191,Aug-17,0.0,3733937.55,69541,3,-671.17,0.0,-4437850.42,2010
10008191,Jul-17,0.0,3733937.55,69540,2,-671.17,0.0,-4437850.42,2010
10008191,Jun-17,0.0,3733937.55,69539,1,-671.17,0.0,-4437850.42,2010
10008726,Aug-17,0.0,3733937.55,82524,3,-1384.83,0.0,-4437850.42,2010
10008726,Dec-17,0.0,3733937.55,82528,7,-1384.83,0.0,-4437850.42,2010
10008726,Jul-17,0.0,3733937.55,82523,2,-1384.83,0.0,-4437850.42,2010
10008726,Jun-17,0.0,3733937.55,82522,1,-1384.83,0.0,-4437850.42,2010
10008726,Nov-17,0.0,3733937.55,82527,6,-1384.83,0.0,-4437850.42,2010
10008726,Oct-17,0.0,3733937.55,82526,5,-1384.83,0.0,-4437850.42,2010
10008726,Sep-17,0.0,3733937.55,82525,4,-1384.83,0.0,-4437850.42,2010
10008727,Aug-17,0.0,3733937.55,82510,3,-991.0,0.0,-4437850.42,2010
10008727,Dec-17,0.0,3733937.55,82514,7,-991.0,0.0,-4437850.42,2010
10008727,Jul-17,0.0,3733937.55,82509,2,-991.0,0.0,-4437850.42,2010
10008727,Jun-17,0.0,3733937.55,82508,1,-991.0,0.0,-4437850.42,2010
10008727,Nov-17,0.0,3733937.55,82513,6,-991.0,0.0,-4437850.42,2010
10008727,Oct-17,0.0,3733937.55,82512,5,-991.0,0.0,-4437850.42,2010
10008727,Sep-17,0.0,3733937.55,82511,4,-991.0,0.0,-4437850.42,2010
10008728,Aug-17,0.0,3733937.55,82497,3,-416.67,0.0,-4437850.42,2010
10008728,Dec-17,0.0,3733937.55,82501,7,-416.67,0.0,-4437850.42,2010
10008728,Jul-17,0.0,3733937.55,82496,2,-416.67,0.0,-4437850.42,2010
10008728,Jun-17,0.0,3733937.55,82495,1,-416.67,0.0,-4437850.42,2010
10008728,Nov-17,0.0,3733937.55,82500,6,-416.67,0.0,-4437850.42,2010
10008728,Oct-17,0.0,3733937.55,82499,5,-416.67,0.0,-4437850.42,2010
10008728,Sep-17,0.0,3733937.55,82498,4,-416.67,0.0,-4437850.42,2010
10008729,Aug-17,0.0,3733937.55,82484,3,-499.58,0.0,-4437850.42,2010
10008729,Dec-17,0.0,3733937.55,82488,7,-499.58,0.0,-4437850.42,2010
10008729,Jul-17,0.0,3733937.55,82483,2,-499.58,0.0,-4437850.42,2010
10008729,Jun-17,0.0,3733937.55,82482,1,-499.58,0.0,-4437850.42,2010
10008729,Nov-17,0.0,3733937.55,82487,6,-499.58,0.0,-4437850.42,2010
10008729,Oct-17,0.0,3733937.55,82486,5,-499.58,0.0,-4437850.42,2010
10008729,Sep-17,0.0,3733937.55,82485,4,-499.58,0.0,-4437850.42,2010
10008730,Aug-17,0.0,3733937.55,82471,3,-628.25,0.0,-4437850.42,2010
10008730,Dec-17,0.0,3733937.55,82475,7,-628.25,0.0,-4437850.42,2010
10008730,Jul-17,0.0,3733937.55,82470,2,-628.25,0.0,-4437850.42,2010
10008730,Jun-17,0.0,3733937.55,82469,1,-628.25,0.0,-4437850.42,2010
10008730,Nov-17,0.0,3733937.55,82474,6,-628.25,0.0,-4437850.42,2010
10008730,Oct-17,0.0,3733937.55,82473,5,-628.25,0.0,-4437850.42,2010
10008730,Sep-17,0.0,3733937.55,82472,4,-628.25,0.0,-4437850.42,2010
10008731,Aug-17,0.0,3733937.55,82458,3,-487.98,0.0,-4437850.42,2010
10008731,Dec-17,0.0,3733937.55,82462,7,-487.98,0.0,-4437850.42,2010
10008731,Jul-17,0.0,3733937.55,82457,2,-487.98,0.0,-4437850.42,2010
10008731,Jun-17,0.0,3733937.55,82456,1,-487.98,0.0,-4437850.42,2010
10008731,Nov-17,0.0,3733937.55,82461,6,-487.98,0.0,-4437850.42,2010
10008731,Oct-17,0.0,3733937.55,82460,5,-487.98,0.0,-4437850.42,2010
10008731,Sep-17,0.0,3733937.55,82459,4,-487.98,0.0,-4437850.42,2010
10008996,Aug-17,0.0,3733937.55,85471,3,-98.26,0.0,-4437850.42,2010
10008996,Dec-17,0.0,3733937.55,85475,7,-98.26,0.0,-4437850.42,2010
10008996,Jan-18,0.0,3733937.55,85476,8,-98.26,0.0,-4437850.42,2010
10008996,Jul-17,0.0,3733937.55,85470,2,-98.26,0.0,-4437850.42,2010
10008996,Jun-17,0.0,3733937.55,85469,1,-98.26,0.0,-4437850.42,2010
10008996,Nov-17,0.0,3733937.55,85474,6,-98.26,0.0,-4437850.42,2010
10008996,Oct-17,0.0,3733937.55,85473,5,-98.26,0.0,-4437850.42,2010
10008996,Sep-17,0.0,3733937.55,85472,4,-98.26,0.0,-4437850.42,2010
10009055,Aug-17,0.0,3733937.55,85283,3,-584.8,0.0,-4437850.42,2010
10009055,Jul-17,0.0,3733937.55,85282,2,-584.8,0.0,-4437850.42,2010
10009055,Jun-17,0.0,3733937.55,85281,1,-584.8,0.0,-4437850.42,2010
10009055,Nov-17,0.0,3733937.55,85286,6,-584.8,0.0,-4437850.42,2010
10009055,Oct-17,0.0,3733937.55,85285,5,-584.8,0.0,-4437850.42,2010
10009055,Sep-17,0.0,3733937.55,85284,4,-584.8,0.0,-4437850.42,2010
10009588,Jun-17,0.0,1284122.59,98414,1,-52.0,0.0,-137007.55,2010
10009589,Jun-17,0.0,1284122.59,98415,1,-189.21,0.0,-137007.55,2010
10009590,Jun-17,0.0,1284122.59,98416,1,-304.73,0.0,-137007.55,2010
10009591,Jun-17,0.0,1284122.59,98417,1,-181.46,0.0,-137007.55,2010
10009592,Jun-17,0.0,1284122.59,98418,1,-211.33,0.0,-137007.55,2010
10009593,Jun-17,0.0,3852367.7700000005,303002,3,-1251.01,0.0,-411022.64999999997,6030
10009594,Jun-17,0.0,1284122.59,98421,1,-1564.53,0.0,-137007.55,2010
10009595,Jun-17,0.0,1284122.59,98423,1,-579.24,0.0,-137007.55,2010
10009596,Jun-17,0.0,1284122.59,98424,1,-407.01,0.0,-137007.55,2010
10009597,Jun-17,0.0,1284122.59,98427,1,-187.0,0.0,-137007.55,2010
10009598,Jun-17,0.0,1284122.59,98428,1,-1269.29,0.0,-137007.55,2010
10009599,Jun-17,0.0,1284122.59,98430,1,-86.4,0.0,-137007.55,2010
10009600,Jun-17,0.0,1284122.59,98431,1,-41.95,0.0,-137007.55,2010
10009601,Jun-17,0.0,1284122.59,98433,1,-52.0,0.0,-137007.55,2010
10009602,Jun-17,0.0,1284122.59,98434,1,-28.91,0.0,-137007.55,2010
10009603,Jun-17,0.0,1284122.59,98435,1,-72.0,0.0,-137007.55,2010
10009604,Jun-17,0.0,1284122.59,98436,1,-95.0,0.0,-137007.55,2010
10009605,Jun-17,0.0,1284122.59,98438,1,-20.0,0.0,-137007.55,2010
10009606,Jun-17,0.0,1284122.59,98442,1,-619.27,0.0,-137007.55,2010
10009607,Jun-17,0.0,1284122.59,98443,1,-158.57,0.0,-137007.55,2010
10009608,Jun-17,0.0,1284122.59,98444,1,-45.0,0.0,-137007.55,2010
10009609,Jun-17,0.0,1284122.59,98446,1,-39.51,0.0,-137007.55,2010
10009610,Jun-17,0.0,1284122.59,98447,1,-102.5,0.0,-137007.55,2010
10009611,Jun-17,0.0,1284122.59,98448,1,-36.28,0.0,-137007.55,2010
10009612,Jun-17,0.0,1284122.59,98449,1,-40.0,0.0,-137007.55,2010
10009613,Jun-17,0.0,1284122.59,98450,1,-52.0,0.0,-137007.55,2010
10009614,Jun-17,0.0,1284122.59,98451,1,-62.0,0.0,-137007.55,2010
10009615,Jun-17,0.0,1284122.59,98453,1,-40.0,0.0,-137007.55,2010
10009616,Jun-17,0.0,1284122.59,98454,1,-16.44,0.0,-137007.55,2010
10009618,Jun-17,0.0,1284122.59,98456,1,-1.68,0.0,-137007.55,2010
10009619,Jun-17,0.0,1284122.59,98457,1,-101.83,0.0,-137007.55,2010
10009620,Jun-17,0.0,1284122.59,98458,1,-23.0,0.0,-137007.55,2010
10009621,Jun-17,0.0,1284122.59,98459,1,-373.82,0.0,-137007.55,2010
10009622,Jun-17,0.0,1284122.59,98460,1,-16.5,0.0,-137007.55,2010
10009623,Jun-17,0.0,1284122.59,98461,1,-53.5,0.0,-137007.55,2010
10009624,Jun-17,0.0,1284122.59,98462,1,-12.5,0.0,-137007.55,2010
10009625,Jun-17,0.0,1284122.59,98463,1,-22.0,0.0,-137007.55,2010
10009626,Jun-17,0.0,1284122.59,98464,1,-55.65,0.0,-137007.55,2010
10009627,Jun-17,0.0,1284122.59,98465,1,-86.71,0.0,-137007.55,2010
10009628,Jun-17,0.0,1284122.59,98466,1,-27.14,0.0,-137007.55,2010
10009630,Jun-17,0.0,1284122.59,98468,1,-103.46,0.0,-137007.55,2010
10009631,Jun-17,0.0,1284122.59,98469,1,-97.41,0.0,-137007.55,2010
10009632,Jun-17,0.0,1284122.59,98470,1,-250.02,0.0,-137007.55,2010
10009633,Jun-17,0.0,1284122.59,98471,1,-127.31,0.0,-137007.55,2010
10009634,Jun-17,0.0,1284122.59,98472,1,-181.03,0.0,-137007.55,2010
10009636,Jun-17,0.0,1284122.59,98473,1,-109.54,0.0,-137007.55,2010
10009637,Jun-17,0.0,1284122.59,98474,1,-26.09,0.0,-137007.55,2010
10009638,Jun-17,0.0,1284122.59,98475,1,-106.0,0.0,-137007.55,2010
10009639,Jun-17,0.0,1284122.59,98476,1,-1041.57,0.0,-137007.55,2010
10009640,Jun-17,0.0,1284122.59,98477,1,-73.0,0.0,-137007.55,2010
10009641,Jun-17,0.0,1284122.59,98478,1,-345.0,0.0,-137007.55,2010
10009642,Jun-17,0.0,1284122.59,98479,1,-170.0,0.0,-137007.55,2010
10009644,Jun-17,0.0,1284122.59,98480,1,-219.57,0.0,-137007.55,2010
10009645,Jun-17,0.0,1284122.59,98481,1,-565.68,0.0,-137007.55,2010
10009646,Jun-17,0.0,1284122.59,98482,1,-270.78,0.0,-137007.55,2010
10009647,Jun-17,0.0,1284122.59,98483,1,-111.37,0.0,-137007.55,2010
10009648,Jun-17,0.0,1284122.59,98484,1,-1348.38,0.0,-137007.55,2010
10009649,Jun-17,0.0,1284122.59,98485,1,-15.31,0.0,-137007.55,2010
10009651,Jun-17,0.0,1284122.59,98486,1,-318.23,0.0,-137007.55,2010
10009652,Jun-17,0.0,1284122.59,98488,1,-227.73,0.0,-137007.55,2010
10009653,Jun-17,0.0,1284122.59,98489,1,-4346.03,0.0,-137007.55,2010
10009654,Jun-17,0.0,1284122.59,98492,1,-20448.49,0.0,-137007.55,2010
10009655,Jun-17,0.0,1284122.59,98494,1,-277.63,0.0,-137007.55,2010
10009656,Jun-17,0.0,1284122.59,98495,1,-151.07,0.0,-137007.55,2010
10009657,Jun-17,0.0,1284122.59,98496,1,-320.92,0.0,-137007.55,2010
10009658,Jun-17,0.0,1284122.59,98497,1,-29.41,0.0,-137007.55,2010
10009659,Jun-17,0.0,1284122.59,98498,1,-79.0,0.0,-137007.55,2010
10009660,Jun-17,0.0,1284122.59,98499,1,-85.69,0.0,-137007.55,2010
10009662,Jun-17,0.0,1284122.59,98502,1,-162.65,0.0,-137007.55,2010
10009665,Jun-17,0.0,1284122.59,98504,1,-34.69,0.0,-137007.55,2010
10009666,Jun-17,0.0,1284122.59,98505,1,-19.0,0.0,-137007.55,2010
10009667,Jun-17,0.0,1284122.59,98507,1,-1820.47,0.0,-137007.55,2010
