,Inv No,Month,NLNominalAccounts.AccountDepartment,NLNominalAccounts.BroughtForwardBalance,NLPostedNominalTrans.UniqueReferenceNumber,SYSAccountingPeriods.PeriodNumber,NLPostedNominalTrans.GoodsValueInBaseCurrency,NLPostedNominalTrans.TransactionAnalysisCode,NLNominalAccounts.Balance,Nom Code_x,Customer,Del,Inv Value,Nom Code_y,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19
0,01/02/18-30/04/18,Apr-18,0.0,2544211.28,118311,11,-580.17,0.0,-1396069.12,2010,0.0,0.0,1740.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.02,613.13,593.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,01/02/18-30/04/18,Feb-18,0.0,2544211.28,118309,9,-580.17,0.0,-1396069.12,2010,0.0,0.0,1740.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.02,613.13,593.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01/02/18-30/04/18,Mar-18,0.0,2544211.28,118310,10,-580.17,0.0,-1396069.12,2010,0.0,0.0,1740.5,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.02,613.13,593.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01/03/18-31/03/18,Mar-18,0.0,2734029.55,120860,10,-80.0,0.0,-3846562.97,2010,0.0,0.0,80.0,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,01/10/17-30/09/18,Apr-18,0.0,2734029.55,106615,11,-25.0,0.0,-3846562.97,2010,0.0,0.0,0.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,01/10/17-30/09/18,Dec-17,0.0,2734029.55,106611,7,-25.0,0.0,-3846562.97,2010,0.0,0.0,0.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,01/10/17-30/09/18,Feb-18,0.0,2734029.55,106613,9,-25.0,0.0,-3846562.97,2010,0.0,0.0,0.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,01/10/17-30/09/18,Jan-18,0.0,2734029.55,106612,8,-25.0,0.0,-3846562.97,2010,0.0,0.0,0.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,01/10/17-30/09/18,Mar-18,0.0,2734029.55,106614,10,-25.0,0.0,-3846562.97,2010,0.0,0.0,0.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,01/10/17-30/09/18,May-18,0.0,2734029.55,106616,12,-25.0,0.0,-3846562.97,2010,0.0,0.0,0.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
