,Month,Sage,Manager,Common_Difference,Not_in_Sage,Not_in_Manager,Difference
0,Jun-16,0.0,596806.56,-6461.7699999999995,0.0,590344.79,0.0
1,Jul-16,0.0,639784.6699999999,-36965.769999999975,0.0,602818.8999999999,0.0
2,Aug-16,0.0,653405.1,-63775.12000000001,0.0,589629.98,0.0
3,Sep-16,0.0,652279.57,-89310.29999999996,0.0,562969.27,0.0
4,Oct-16,0.0,723362.78,-121539.90000000007,0.0,601822.88,0.0
5,Nov-16,0.0,721959.72,-127381.45999999986,0.0,594578.26,-0.0
6,Dec-16,0.0,736096.76,-156785.67000000013,0.0,579311.0900000001,0.0
7,Jan-17,0.0,776884.2400000001,-246956.38999999996,0.0,529927.8500000001,-0.0
8,Feb-17,0.0,729078.92,-241958.60000000015,0.0,487120.32,0.0
9,Mar-17,0.0,788576.8500000001,-294337.25999999995,0.0,494239.58999999997,-0.0
10,Apr-17,0.0,711042.0299999999,-466997.3100000008,0.0,244044.71999999997,0.0
11,May-17,0.0,767143.84,-590137.8300000007,0.0,177006.01,0.0
12,Jun-17,-1029927.9200000004,713163.4800000001,127833.64000000016,-252205.29000000004,63274.49000000001,0.0
13,Jul-17,-954421.319999999,761116.7299999999,58422.45000000004,-206376.30000000002,71494.15999999999,-0.0
14,Aug-17,-1038270.3499999993,835734.57,62432.4899999998,-219849.28000000003,79745.98999999999,-0.0
15,Sep-17,-1009371.6099999998,762191.1599999998,32613.440000000002,-270042.82,55475.81,0.0
16,Oct-17,-1021491.3899999999,843491.48,47650.42999999985,-173371.77,43022.28999999999,0.0
17,Nov-17,-1053675.35,820489.36,191349.3799999998,-85452.16999999997,43615.56,0.0
18,Dec-17,-1000202.299999999,827358.14,183793.06,-20126.259999999966,31075.16,-0.0
19,Jan-18,-1042631.3,829420.9799999999,188487.53000000003,-38573.05999999998,13850.27,0.0
20,Feb-18,-998922.4299999984,763823.0000000001,88403.9199999999,-162377.7200000001,15682.21,-0.0
21,Mar-18,-1045082.5999999993,843291.0900000001,8569.539999999726,-222730.46999999994,29508.5,-0.0
22,Apr-18,-1035196.999999999,831736.7000000001,-25710.709999999985,-373088.99000000005,143917.97999999998,-0.0
23,May-18,-1042494.2399999999,816003.24,2475.8400000000242,-502550.83,278535.67,-0.0
24,Jun-18,0.0,803829.01,-374846.6100000003,0.0,428982.39999999997,0.0
25,Jul-18,0.0,824636.94,-224733.0899999998,0.0,599903.8500000001,0.0
26,Aug-18,0.0,789746.7699999999,-192418.40999999986,0.0,597328.36,-0.0
27,Sep-18,0.0,802019.5099999999,-173689.85999999993,0.0,628329.65,0.0
28,Oct-18,0.0,802262.3999999999,-143426.2000000001,0.0,658836.2,0.0
29,Nov-18,0.0,783258.4800000001,-121986.25999999997,0.0,661272.22,-0.0
30,Dec-18,0.0,783294.32,-106677.67000000013,0.0,676616.6499999999,0.0
31,Jan-19,0.0,737024.3300000001,-69867.16,0.0,667157.17,0.0
32,Feb-19,0.0,728247.8899999999,-50334.56,0.0,677913.3300000001,0.0
33,Mar-19,0.0,846110.0299999999,-44652.97999999999,0.0,801457.0499999999,0.0
34,Apr-19,0.0,699410.02,-15206.590000000004,0.0,684203.4299999999,-0.0
35,May-19,0.0,682442.3500000001,-8005.900000000002,0.0,674436.4500000001,0.0
